Drug,Drug_SMILES
NNK,CN(CCCC(=O)C1=CN=CC=C1)N=O
Staurosporine,C[C@@]12[C@@H]([C@@H](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)OC
Nocodazole,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CS3
Medroxyprogesterone Acetate,C[C@H]1C[C@@H]2[C@H](CC[C@]3([C@H]2CC[C@@]3(C(=O)C)OC(=O)C)C)[C@@]4(C1=CC(=O)CC4)C
"Halofuginone, (-)-",C1C[C@H]([C@@H](NC1)CC(=O)CN2C=NC3=CC(=C(C=C3C2=O)Cl)Br)O
SSA,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COS(=O)(=O)NC(=O)[C@H](CO)N)O)O)N
Platinum,[Pt]
Daunomycin,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O
Mitoxantrone,C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO
Idarubicin,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=CC=CC=C5C4=O)O)(C(=O)C)O)N)O
ST1926,C1C2CC3CC1CC(C2)(C3)C4=C(C=CC(=C4)C5=CC=C(C=C5)/C=C/C(=O)O)O
(-)-Irofulven,CC1=C(C2=C(C3(CC3)[C@@](C(=O)C2=C1)(C)O)C)CO
hkh40a,COC1=CC2=C(C=C1)N3C=NC4=C3C(=C(C=C4)NCCCN5CCN(CC5)CCCN6C(=O)C7=CC=CC8=CC(=CC(=C87)C6=O)[N+](=O)[O-])C2=O
PGE2,CCCCC[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1C/C=C\CCCC(=O)O)O)O
"ICI 182,780",C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)[C@@H](CC4=C3C=CC(=C4)O)CCCCCCCCCS(=O)CCCC(C(F)(F)F)(F)F
Bromocriptine,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C(C)C)NC(=O)[C@H]4CN([C@@H]5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O
Gnrh-II,C1C[C@H](N(C1)C(=O)[C@H](CC2=CC=C(C=C2)O)NC(=O)[C@H](CC3=CNC4=CC=CC=C43)NC(=O)CNC(=O)[C@H](CC5=CN=CN5)NC(=O)[C@H](CO)NC(=O)[C@H](CC6=CNC7=CC=CC=C76)NC(=O)[C@H](CC8=CN=CN8)NC(=O)[C@@H]9CCC(=O)N9)C(=O)NCC(=O)N
FK-506,CC1CC(C2C(CC(C(O2)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C(CC(=O)C(/C=C(/C1)\C)CC=C)O)C)/C(=C/C4CCC(C(C4)OC)O)/C)O)C)OC)OC
Ginsenoside Rb1,CC(=CCC[C@@](C)([C@H]1CC[C@@]2([C@@H]1[C@@H](C[C@H]3[C@]2(CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)C)C)O)C)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)O)O)O)C
Prednisolone,C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C)O
(6)-Shogaol,CCCCCC=CC(=O)CCC1=CC(=C(C=C1)O)OC
"8-Hydroxy-2-methoxynaphthalene-1,4-dione",COC1=CC(=O)C2=C(C1=O)C(=CC=C2)O
Minocycline,CN(C)[C@H]1[C@@H]2C[C@@H]3CC4=C(C=CC(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)N(C)C
PS-1145,C1=CC(=CN=C1)C(=O)NC2=CC(=CC3=C2NC4=C3C=CN=C4)Cl
TNF,C1=CC2=C(C=C1[N+](=O)[O-])C(=O)C3=C2C(=CC(=C3)[N+](=O)[O-])[N+](=O)[O-]
Licochalcone A,CC(C)(C=C)C1=C(C=C(C(=C1)/C=C/C(=O)C2=CC=C(C=C2)O)OC)O
P-6,CC[N+]1(CCCCC1)CCN(C)CC[N+]2(CCCCC2)CC.[Br-].[Br-]
Bix 01294,CN1CCCN(CC1)C2=NC3=CC(=C(C=C3C(=N2)NC4CCN(CC4)C5=CC=CC=C5)OC)OC
Cortistatin-A,CC12CC=C3C=C4C(C(C(CC45CCC3(C1CCC2C6=CC7=C(C=C6)C=CN=C7)O5)N(C)C)O)O
(+)-Dioscin,C[C@@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC=C6[C@@]5(CC[C@@H](C6)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O[C@H]8[C@@H]([C@@H]([C@H]([C@@H](O8)C)O)O)O)O)O[C@H]9[C@@H]([C@@H]([C@H]([C@@H](O9)C)O)O)O)C)C)C)OC1
DEAB,CCN(CC)C1=CC=C(C=C1)N=NC2=CC=CC=C2
Promethazine,CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C
Pralatrexate,C#CCC(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O
Angelicin,C1=CC2=C(C=CO2)C3=C1C=CC(=O)O3
PCW,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\CCCCCCCC
GW-4064,CC(C)C1=C(C(=NO1)C2=C(C=CC=C2Cl)Cl)COC3=CC(=C(C=C3)/C=C/C4=CC(=CC=C4)C(=O)O)Cl
Cercosporamide,CC(=O)C1=C(C=C2[C@@](C1=O)(C3=C(C=C(C(=C3O2)C(=O)N)O)O)C)O
Merestinib,CC1=CC=C(C(=O)N1C2=CC=C(C=C2)F)C(=O)NC3=CC(=C(C=C3)OC4=C(C=C5C(=C4)C=NN5C)C6=CNN=C6)F
SEL-201,C1=CC(=CC(=C1)Cl)CN2C=C(C=CC2=O)C3=CC4=C(C=C3)C(=NN4)N
Tomivosertib,CC1=C2C(=O)NC3(N2C(=O)C(=C1)NC4=NC=NC(=C4)N)CCCCC3
Kahweol,C[C@@]12C=CC3=C([C@H]1CC[C@]45[C@H]2CC[C@H](C4)[C@](C5)(CO)O)C=CO3
FTD,C[C@H]1C(=O)N2[C@@H](N1O)[C@]3(C[C@H](C(=O)O3)N4C(=O)C5=CC=CC=C5N=C4[C@H](C(C)C)OC(=O)C)C6=CC=CC=C62
(+-)-Camptothecin,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O
Hydroxyurea,C(=O)(N)NO
nafamostat mesilate,CS(=O)(=O)O.CS(=O)(=O)O.C1=CC(=CC=C1C(=O)OC2=CC3=C(C=C2)C=C(C=C3)C(=N)N)N=C(N)N
NH4Cl,[NH4+].[Cl-]
2-deoxy-D-glucose,C(C=O)[C@H]([C@@H]([C@@H](CO)O)O)O
Salinomycin,CC[C@H]([C@H]1CC[C@@H]([C@@H](O1)[C@@H](C)[C@@H]([C@H](C)C(=O)[C@H](CC)[C@@H]2[C@H](C[C@H]([C@]3(O2)C=C[C@H]([C@@]4(O3)CC[C@@](O4)(C)[C@H]5CC[C@@]([C@@H](O5)C)(CC)O)O)C)C)O)C)C(=O)O
Acadesine,C1=NC(=C(N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N)C(=O)N
docosahexaenoic acid(DHA),CC/C=C\C/C=C\C/C=C/C/C=C\C/C=C\C/C=C\CCC(=O)O
Phenformin,C1=CC=C(C=C1)CCN=C(N)N=C(N)N
C O Cl2,C(=O)(Cl)Cl
D4476,C1COC2=C(O1)C=CC(=C2)C3=C(NC(=N3)C4=CC=C(C=C4)C(=O)N)C5=CC=CC=N5
Silibinin,COC1=C(C=CC(=C1)[C@@H]2[C@H](OC3=C(O2)C=C(C=C3)[C@@H]4[C@H](C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O
(+)-Alantolactone,C[C@H]1CCC[C@]2(C1=C[C@H]3[C@@H](C2)OC(=O)C3=C)C
FL3,COC1=CC2=C(C(=C1)OC)[C@@]3([C@@H](C[C@H]([C@@]3(O2)C4=CC=C(C=C4)Br)C5=CC=CC=C5)O)O
Disodium cantharidin,C[C@]1([C@H]2CC[C@@H]([C@]1(C)C(=O)[O-])O2)C(=O)[O-].[Na+].[Na+]
Dacarbazine,CN(C)/N=N/C1=C(NC=N1)C(=O)N
Auranofin,CCP(CC)CC.CC(=O)OC[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)[S-])OC(=O)C)OC(=O)C)OC(=O)C.[Au+]
6-MP,C1=NC2=C(N1)C(=S)N=CN2
Olaparib,C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F
Ascochlorin,C[C@@H]1CCC(=O)[C@@H]([C@@]1(C)/C=C/C(=C/CC2=C(C(=C(C(=C2O)Cl)C)C=O)O)/C)C
Cerulenin,C/C=C/C/C=C/CCC(=O)[C@@H]1[C@@H](O1)C(=O)N
PD-0166285,CCN(CC)CCOC1=CC=C(C=C1)NC2=NC=C3C=C(C(=O)N(C3=N2)C)C4=C(C=CC=C4Cl)Cl
Crizotinib,C[C@H](C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N
Ceramide,CCCCCCCCCCCCCCCCC/C=C/C(C(COC1C(C(C(C(O1)CO)O)O)O)NC(=O)C(CCCCCCCCCCCCCC)O)O
ActD,C[C@@H]1[C@@H](C(=O)N[C@@H](C(=O)N2CCC[C@H]2C(=O)N(CC(=O)N([C@H](C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)N[C@H]6[C@H](OC(=O)[C@@H](N(C(=O)CN(C(=O)[C@@H]7CCCN7C(=O)[C@H](NC6=O)C(C)C)C)C)C(C)C)C)N)C
Sb-202190,C1=CC(=CC=C1C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F)O
Melatonin,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC
2-Methoxyestradiol,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O
Ibrutinib,C=CC(=O)N1CCC[C@H](C1)N2C3=NC=NC(=C3C(=N2)C4=CC=C(C=C4)OC5=CC=CC=C5)N
Birinapant,CC[C@@H](C(=O)N1C[C@H](C[C@H]1CC2=C(NC3=C2C=CC(=C3)F)C4=C(C5=C(N4)C=C(C=C5)F)C[C@@H]6C[C@@H](CN6C(=O)[C@H](CC)NC(=O)[C@H](C)NC)O)O)NC(=O)[C@H](C)NC
Mrt-67307,C1CC(C1)C(=O)NCCCNC2=NC(=NC=C2C3CC3)NC4=CC=CC(=C4)CN5CCOCC5
TPC-A,C[C@H]1C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@@H](C(=O)N([C@@H]2CC3=CC=C(C=C3)OC4=C(C=CC(=C4)C[C@H](C(=O)N1)N(C2=O)C)O)C)C)CC5=CC=C(C=C5)OC)C)C.C[C@H]1C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@@H](C(=O)N([C@@H]2CC3=CC=C(C=C3)OC4=C(C=CC(=C4)C[C@H](C(=O)N1)N(C2=O)C)O)C)C)CC5=CC=C(C=C5)OC)C)C.C[C@H]1C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@@H](C(=O)N([C@@H]2CC3=CC=C(C=C3)OC4=C(C=CC(=C4)C[C@H](C(=O)N1)N(C2=O)C)O)C)C)CC5=CC=C(C=C5)OC)C)C.C[C@H]1C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@@H](C(=O)N([C@@H]2CC3=CC=C(C=C3)OC4=C(C=CC(=C4)C[C@H](C(=O)N1)N(C2=O)C)O)C)C)CC5=CC=C(C=C5)OC)C)C.O.O.O.O.O
TAK-242,CCOC(=O)C1=CCCC[C@H]1S(=O)(=O)NC2=C(C=C(C=C2)F)Cl
Bergenin,COC1=C(C=C2C(=C1O)[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)OC2=O)O
"Anisomycin, (+)-",CC(=O)O[C@H]1[C@@H](CN[C@H]1CC2=CC=C(C=C2)OC)O
Pazopanib,CC1=C(C=C(C=C1)NC2=NC=CC(=N2)N(C)C3=CC4=NN(C(=C4C=C3)C)C)S(=O)(=O)N
Retinoic Acid,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C
Asiatic Acid,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(C[C@H]([C@@H]([C@@]5(C)CO)O)O)C)C)[C@@H]2[C@H]1C)C)C(=O)O
LiCl,[Li+].[Cl-]
AR-A014418,COC1=CC=C(C=C1)CNC(=O)NC2=NC=C(S2)[N+](=O)[O-]
Ebselen,C1=CC=C(C=C1)N2C(=O)C3=CC=CC=C3[Se]2
Lithium,[Li]
Roscovitine,CC[C@H](CO)NC1=NC(=C2C(=N1)N(C=N2)C(C)C)NCC3=CC=CC=C3
Troglitazone,CC1=C(C2=C(CCC(O2)(C)COC3=CC=C(C=C3)CC4C(=O)NC(=O)S4)C(=C1O)C)C
Arsenite,[O-][As]([O-])[O-]
Baicalein,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O
Disulfiram,CCN(CC)C(=S)SSC(=S)N(CC)CC
CMPD1,C1=CC=C(C(=C1)C2=CC=C(C=C2)CCCC(=O)NC3=CC=C(C=C3)O)F
Fasudil,C1CNCCN(C1)S(=O)(=O)C2=CC=CC3=C2C=CN=C3
AKB-9778,COC(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC2=CC=C(C=C2)NS(=O)(=O)O)C3=CSC(=N3)C4=CC=CS4
Angio-tensin II,CC[C@H](C)C(C(=O)N[C@@H](CC1=CN=CN1)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC3=CC=CC=C3)C(=O)O)NC(=O)[C@H](CC4=CC=C(C=C4)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(=O)O)N
TEPP-46,CN1C2=C(C3=C1C(=O)N(N=C3)CC4=CC(=CC=C4)N)SC(=C2)S(=O)C
Dimethyloxalylglycine,COC(=O)CNC(=O)C(=O)OC
KN-93,CN(C/C=C/C1=CC=C(C=C1)Cl)CC2=CC=CC=C2N(CCO)S(=O)(=O)C3=CC=C(C=C3)OC
PFE-360,CN1C=C(C=C1C#N)C2=CNC3=C2C(=NC=N3)N4CCOCC4
MLi-2,C[C@@H]1CN(C[C@@H](O1)C)C2=NC=NC(=C2)C3=NNC4=C3C=C(C=C4)OC5(CC5)C
